TemplateID,GreenRatio,BlueRatio,GreenRank,BlueRank
998,0.1358,0.0351,329,215
501,0.1358,0.0295,330,690
927,0.1358,0.0372,331,118
555,0.1358,0.0232,332,955
239,0.1358,0.0294,333,703
151,0.1357,0.0313,334,544
505,0.1357,0.0281,335,786
707,0.1356,0.0307,336,612
192,0.1356,0.0294,337,704
824,0.1356,0.029,338,721
201,0.1356,0.0283,339,775
77,0.1356,0.0351,340,216
777,0.1356,0.0221,341,964
44,0.1355,0.0258,342,899
861,0.1355,0.0353,343,199
144,0.1355,0.0282,344,780
635,0.1355,0.0308,345,596
262,0.1354,0.0345,346,256
600,0.1354,0.0353,347,206
388,0.1354,0.0234,348,952
490,0.1353,0.0258,349,898
107,0.1353,0.0296,350,687
581,0.1353,0.0283,351,770
204,0.1353,0.0227,352,960
42,0.1353,0.0318,353,475
981,0.1353,0.0287,354,736
788,0.1352,0.0382,355,64
708,0.1352,0.0277,356,809
218,0.1352,0.0346,357,246
833,0.1352,0.028,358,791
751,0.1352,0.029,359,723
35,0.1352,0.0278,360,808
825,0.1352,0.0286,361,744
407,0.1351,0.0315,362,519
162,0.1351,0.0323,363,434
306,0.1351,0.0402,364,38
317,0.1351,0.04,365,39
449,0.1351,0.0284,366,764
373,0.1351,0.0318,367,487
207,0.1351,0.0313,368,548
733,0.135,0.0323,369,430
889,0.135,0.0311,370,566
644,0.135,0.0297,371,676
565,0.135,0.0285,372,757
350,0.135,0.0283,373,769
208,0.135,0.0377,374,91
214,0.135,0.0288,375,735
776,0.135,0.0324,376,424
56,0.1349,0.0284,377,762
199,0.1349,0.0342,378,270
125,0.1349,0.0228,379,959
65,0.1348,0.0303,380,647
618,0.1348,0.0278,381,806
387,0.1348,0.0335,382,315
620,0.1347,0.0338,383,297
716,0.1347,0.0323,384,429
680,0.1347,0.0327,385,396
4,0.1347,0.0321,386,448
193,0.1346,0.0323,387,435
908,0.1346,0.0295,388,695
303,0.1346,0.0319,389,469
986,0.1346,0.0402,390,37
640,0.1344,0.0298,391,672
184,0.1344,0.0328,392,375
469,0.1344,0.0353,393,203
877,0.1343,0.0283,394,774
870,0.1343,0.0318,395,477
370,0.1343,0.0231,396,956
420,0.1343,0.0382,397,61
759,0.1342,0.0299,398,665
643,0.1342,0.0314,399,531
607,0.1342,0.0294,400,701
226,0.1341,0.0334,401,327
330,0.1341,0.0399,402,40
617,0.1341,0.0286,403,748
25,0.1341,0.0332,404,344
920,0.134,0.0299,405,666
723,0.134,0.0229,406,958
200,0.134,0.0275,407,822
211,0.134,0.0298,408,673
512,0.134,0.0292,409,709
244,0.134,0.0316,410,510
530,0.1339,0.0326,411,407
488,0.1339,0.0305,412,624
482,0.1339,0.0286,413,746
435,0.1339,0.0302,414,650
972,0.1339,0.0306,415,614
676,0.1339,0.0288,416,734
225,0.1338,0.0395,417,42
158,0.1338,0.0313,418,536
367,0.1338,0.0358,419,185
755,0.1338,0.0343,420,266
322,0.1338,0.0315,421,517
945,0.1338,0.0378,422,87
261,0.1338,0.0378,423,86
186,0.1337,0.0316,424,497
36,0.1337,0.0371,425,126
166,0.1337,0.0245,426,925
549,0.1337,0.0294,427,699
836,0.1337,0.0361,428,165
115,0.1337,0.0342,429,273
557,0.1336,0.0318,430,481
0,0.1336,0.0367,431,141
